nodes__label,nodes__link,nodes__connection_label,nodes__connection_link
Hannah Abbott,Hannah_Abbott,Albus Dumbledore,Albus_Dumbledore
,,Alecto Carrow,Alecto_Carrow
,,Alicia Spinnet,Alicia_Spinnet
,,Amycus Carrow,Amycus_Carrow
,,Angelina Johnson,Angelina_Johnson
,,Augusta Longbottom,Augusta_Longbottom
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Cedric Diggory,Cedric_Diggory
,,Cho Chang,Cho_Chang
,,Colin Creevey,Colin_Creevey
,,Dean Thomas,Dean_Thomas
,,Dolores Umbridge,Dolores_Umbridge
,,Draco Malfoy,Draco_Malfoy
,,Ernie Macmillan,Ernest_Macmillan
,,Fat Friar,Fat_Friar
,,Fred Weasley,Fred_Weasley
,,George Weasley,George_Weasley
,,Gregory Goyle,Gregory_Goyle
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Irma Pince,Irma_Pince
,,Justin FinchFletchley,Justin_FinchFletchley
,,Katie Bell,Katie_Bell
,,Lee Jordan,Lee_Jordan
,,Luna Lovegood,Luna_Lovegood
,,Neville Longbottom,Neville_Longbottom
,,Parvati Patil,Parvati_Patil
,,Pomona Sprout,Pomona_Sprout
,,Poppy Pomfrey,Poppy_Pomfrey
,,Ron Weasley,Ron_Weasley
,,Seamus Finnigan,Seamus_Finnigan
,,Severus Snape,Severus_Snape
,,Sirius Black,Sirius_Black
,,Susan Bones,Susan_Bones
,,Vincent Crabbe,Vincent_Crabbe
,,Zacharias Smith,Zacharias_Smith
Ludo Bagman,Ludo_Bagman,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Augustus Rookwood,Augustus_Rookwood
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Barty Crouch Sr.,Bartemius_Crouch_Sr.
,,Cedric Diggory,Cedric_Diggory
,,Cornelius Fudge,Cornelius_Fudge
,,Harry Potter,Harry_Potter
,,Hermione Granger,Hermione_Granger
,,Lee Jordan,Lee_Jordan
,,Rita Skeeter,Rita_Skeeter
,,Viktor Krum,Viktor_Krum
Lavender Brown,Lavender_Brown,"Alastor ""MadEye"" Moody",Alastor_Moody
,,Albus Dumbledore,Albus_Dumbledore
,,Alicia Spinnet,Alicia_Spinnet
,,Angelina Johnson,Angelina_Johnson
,,Barty Crouch Jr.,Bartemius_Crouch_Jr.
,,Cedric Diggory,Cedric_Diggory
,,Cho Chang,Cho_Chang
